"X1","X2","X3","Y"
2919.32224191596,5166.3919143499,2156.14826799019,5006.20201586706
7122.40565391109,25019.0195863052,1062.65017728654,7773.7515226745
3715.74194849437,11145.4510603604,735.232968713054,1819.58055433803
8807.74707502117,10068.497028099,2150.26783247637,4993.25293850889
10616.6775988776,5074.7449841696,3751.89195391455,2257.27857926629
1096.15442548327,3104.08739761853,757.69411868442,1871.43123229226
4560.01124156106,5704.40734121018,906.293718313378,8596.99040861879
9037.41798983971,8546.0379715281,1772.54417424413,4158.57154067508
4738.92902403896,12396.9048975247,2753.61324606942,3378.72430787334
4041.99796909987,5427.57499353752,3094.32622683162,7058.73643196658
11449.1761842296,5931.8161166127,3079.28665861866,2950.82151296192
4019.12411328432,18698.9484263559,2422.34662577572,3897.76567300579
5836.75022453239,7904.21416010388,3871.32662890002,2155.19173240739
4906.74784944029,21363.8480179318,2194.21392092073,5089.9945986837
1634.26198288936,14046.5455278287,432.070153818557,12589.7393369812
9231.61040435825,22486.0795395819,714.900520720957,9851.59968428477
2648.96494570815,3508.82176012368,1515.81374229616,3587.37965454976
1055.80313145898,5896.44599899545,1502.26833468866,3557.13867908649
3181.15966345463,18470.7139904226,3087.87443502332,2940.47354167415
11314.0772688813,9914.52400903805,1665.37160281486,5562.1415476969
8965.19022668645,22438.5056271425,753.005427398424,9574.51913056041
5989.9649883358,21227.3725933449,1432.73872615297,6281.04005396222
5485.9117106163,11389.7554849244,2560.28304615013,3669.96090877379
16424.8397053664,6763.29580962811,2489.87745249922,3784.00451757557
5626.31007205354,10249.9739031126,1379.7931264514,3283.16949782353
6154.55223432157,5263.54753336242,345.211642679705,13830.5554487666
4681.79669341944,5850.06165116786,806.40980754258,9210.90152926281
5082.8088143162,13888.0370270367,2276.41576933906,4159.44423557608
2929.58933576346,10649.5256121119,274.970599717462,15095.5352137346
1972.86828267702,12273.0564175341,5040.43380943117,11262.9513966442
11844.9115800267,5828.33924663477,1221.60545348483,2927.73403096013
9299.42023536954,9914.79418905553,2187.1539959071,5074.45776616216
5968.51389779902,9504.1967918243,1330.24942868481,3172.05184523043
7223.63367199358,4914.55079291283,6865.12957357502,721.469342847558
825.380689782898,5138.39721595354,3099.05941448653,2927.06243803411
4191.3793088567,15086.5895189906,2635.16198433067,3553.49341013019
6729.58689866157,12487.864756233,1852.72383292721,5068.7870469216
2452.76018991167,1875.12134744252,1127.63101982847,2715.61462381039
3117.87314672401,11867.0925111673,5127.41832072715,1345.86396929934
2553.78392209149,15868.8572571825,4276.02725297991,1846.56568555965
1941.34598624235,15675.0915593979,354.187551273506,922.920638330724
3753.29209115847,3585.07424211839,1886.55072689504,4986.4990026477
3747.74116072838,21879.8514271408,2472.0580863078,3813.59658222267
3448.76085829914,16424.3436108341,3049.73459566529,2986.77298313738
2011.47306178268,5283.41708286071,1691.395875952,3978.41018932255
1911.91636518491,15510.3530861085,307.759063675114,810.432517910047
2563.08442887837,13679.0692653779,5285.30187511072,1270.47554338513
4107.55103265159,7303.57762928703,4748.83546437037,10636.1107917936
2778.89826021397,2941.52726591192,1457.78940108347,3457.75581250835
8266.00129606016,14682.7485773453,1238.42290471655,6999.42759281946
1099.26364823552,6003.74744554541,1547.53688696676,3658.15985971357
3941.97605577311,4978.12862422138,1401.36588174883,6388.85791569411
7273.59058233836,13536.6037111538,2549.7283057835,5870.25173355986
1784.39365917214,25858.7146794431,4476.40566194648,1712.45856477802
4813.58246421195,4955.72741079393,1018.77986202814,7990.15907398382
2386.59562076018,3135.81745437743,1301.57791924098,3107.6645790527
1827.44813881111,9820.0536884438,3316.8307713537,7542.40104726733
6665.95666647911,14371.2899221701,1617.79169772619,5698.67185817777
9104.84426672382,4413.38982013845,554.729111145221,1399.46861687729
3485.8008312504,8088.97514602811,4390.10433092505,9863.69432475224
5715.58277723159,6357.7128525784,262.287809022117,699.167373145438
1567.43294436235,13448.8715911016,561.614852899653,11153.7966665828
